OBJECTID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,FDID,FRST_MBRS,EMS_MBRS,TOTALPERS,NUMTRKS,NUMABUL,TOTAL_VEHI,NBR_STA,OWNER,LEVEL,TYPE,SPECIALTY,EMSLICENSE,EMERPHONE,EMS,PERM_ID,GNIS_ID,GlobalID,x2,y2
196,10462333,UNCLASSIFIED,TUALATIN VALLEY FIRE AND RESCUE STATION 61 - BUTNER ROAD,503-649-8577,13730 SOUTHWEST BUTNER ROAD, ,BEAVERTON,OR,97005,0837,WASHINGTON,41067,SOUTHEAST CORNER OF SW BUTNER RD & SW MURRAY BLVD., , , ,5/9/2008 12:00:00 AM,PHONE,5/9/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21333167,-122.81845,45.5138908,NAVTEQ,2007Q2,ONENTITY,NO,TGS,WASH_FIR11A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,d809b44d-dc14-436d-9625-115fc60f550d,-13672089.3535,5702789.6261
197,10462332,UNCLASSIFIED,TUALATIN VALLEY FIRE AND RESCUE STATION 33 - SHERWOOD,503-649-8577,15440 SOUTHWEST OREGON STREET, ,SHERWOOD,OR,97140, ,WASHINGTON,41067,SOUTHWEST CORNER OF SW OREGON ST AND SW LINCOLN ST., , , ,5/9/2008 12:00:00 AM,PHONE,5/9/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21367767,-122.8357006,45.3586197,NAVTEQ,2007Q2,ONENTITY,NO,TGS,WASH_FIR33A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,82406487-96fc-47a9-b2b6-eae300cf5bca,-13674009.6816,5678157.075
198,10462331,UNCLASSIFIED,CENTRAL OREGON COAST FIRE AND RESCUE DISTRICT 7 STATION 7200,541-563-3121,145 EAST ALSEA HIGHWAY, ,WALDPORT,OR,97394,9805,LINCOLN,41041,"LOCATED ON THE SOUTHEAST SIDE OF EAST ALSEA HIGHWAY, BETWEEN SOUTH ALDER STREET AND NORTH ALDER STREET.", , , ,5/12/2008 12:00:00 AM,PHONE,5/12/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,120835867,-124.06258,44.4271817,NAVTEQ,2007Q2,ONENTITY,NO,TGS,LINC_FIR11A,00392,0,0,45,0,0,0,3,LOCAL, ,MOSTLY VOLUNTEER, , , ,Y, , ,5af147d6-0568-4ebd-bd49-19a0c1204359,-13810585.2182,5531789.7504
199,10462329,UNCLASSIFIED,TUALATIN VALLEY FIRE AND RESCUE STATION 363,503-629-0111,11646 NORTHWEST SKYLINE BOULEVARD, ,PORTLAND,OR,97231,2608,MULTNOMAH,41051,NORTH SIDE OF NW SKYLINE BLVD 0.13 MILES EAST OF NW CORNELIUS PASS RD, , , ,3/12/2008 12:00:00 AM,PHONE,3/26/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,124509885,-122.8603912,45.6084706,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR44A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,714c2f07-4294-45a2-8df7-d51335eb3b96,-13676758.2293,5717827.279
200,10462328,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 3 - NORTHWEST PEARL DISTRICT,503-823-3700,1715 NORTHWEST JOHNSON STREET, ,PORTLAND,OR,97209,2319,MULTNOMAH,41051,"LOCATED ON THE NORTH SIDE OF NORTHWEST JOHNSON STREET, BETWEEN NORTHWEST 17TH AVENUE AND NORTHWEST 18TH AVENUE.", , , ,5/13/2008 12:00:00 AM,PHONE,5/13/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21305661,-122.68871,45.5288614,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR07A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,13af7da9-8859-4029-958b-2ccffe0750f2,-13657646.7656,5705168.1747
201,10462326,UNCLASSIFIED,REDMOND FIRE AND RESCUE STATION 401 - HEADQUARTERS,541-504-5000,341 NORTHWEST DOGWOOD AVENUE, ,REDMOND,OR,97756,1671,DESCHUTES,41017,LOCATED ON NORTH SIDE OF NW DOGWOOD AVE ACROSS OF INTERSECTION OF NW 4TH ST AND NW DOGWOOD AVE., , , ,3/12/2008 12:00:00 AM,PHONE,4/1/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,89850292,-121.1722385,44.2796907,NAVTEQ,2007Q2,ONENTITY,YES,TGS,DESC_FIR09A,00309,0,0,52,0,0,0,4,LOCAL, ,MOSTLY CAREER, , , ,Y, , ,57bad9a9-6b99-43d9-93e2-48608ed3488c,-13488833.9208,5508827.9901
202,10462324,UNCLASSIFIED,TUALATIN VALLEY FIRE AND RESCUE STATION 60 - CORNELL ROAD,503-649-8577,8585 NORTHWEST JOHNSON STREET, ,PORTLAND,OR,97229,6780,WASHINGTON,41067,NORTHEAST CORNER OF NW JOHNSON ST & NW 87TH AVE., , , ,5/9/2008 12:00:00 AM,PHONE,5/9/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21332272,-122.7656613,45.5291109,NAVTEQ,2007Q2,ONENTITY,NO,TGS,WASH_FIR23A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,7832671f-6cb3-485f-a4dc-35992d2501f6,-13666212.9412,5705207.8241
203,10462323,UNCLASSIFIED,FOREST GROVE FIRE AND RESCUE - HEADQUARTERS,503-992-3240,1919 ASH STREET, ,FOREST GROVE,OR,97116,2426,WASHINGTON,41067,NORTHEAST CORNER OF 19TH AVE AND ASH ST., , , ,5/12/2008 12:00:00 AM,PHONE,5/12/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21366063,-123.10978,45.5186308,NAVTEQ,2007Q2,ONENTITY,YES,TGS,WASH_FIR01A,00120,0,0,74,0,0,0,2,LOCAL, ,MOSTLY VOLUNTEER, , , ,Y, , ,70be832b-8cb0-4374-9e8f-8ee33b99364e,-13704520.0559,5703542.6513
204,10462322,UNCLASSIFIED,MITCHELL VOLUNTEER FIRE DEPARTMENT,541-763-4101,202 SOUTHEAST HIGH STREET, ,MITCHELL,OR,97750, ,WHEELER,41069,NORTHEAST CORNER OF THE INTERSECTION OF SE ALLEY ST AND SE ROSENBAUM STREET, , , ,3/13/2008 12:00:00 AM,PHONE,3/13/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,92574034,-120.1526388,44.5658391,NAVTEQ,2007Q2,ONENTITY,NO,TGS,WHEE_FIR03A,00232,0,0,16,0,0,0,1,LOCAL, ,VOLUNTEER, , , ,Y, , ,feef63b6-a927-48e2-aab2-fab97ef8084c,-13375332.6168,5553429.2894
205,10462321,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 12 - SUMNER,503-823-3700,8645 NORTHEAST SANDY BOULEVARD, ,PORTLAND,OR,97220,4905,MULTNOMAH,41051,"LOCATED ON THE NORTH SIDE OF NORTHEAST SANDY BOULEVARD, BETWEEN NORTHEAST 86TH AVENUE AND NORTHEAST 87TH AVENUE.", , , ,5/14/2008 12:00:00 AM,PHONE,5/14/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21289802,-122.5740316,45.5547717,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR42A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,81282c0e-645c-491e-a0f0-0c4042af9dc0,-13644880.8268,5709286.352
206,10462320,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 16 - SYLVAN,503-823-3700,1715 SOUTHWEST SKYLINE BOULEVARD, ,PORTLAND,OR,97221,2658,MULTNOMAH,41051,"LOCATED ON THE WEST SIDE OF SOUTHWEST SKYLINE BOULEVARD, BETWEEN SOUTHWEST MONTGOMERY STREET AND SOUTHWEST 57TH AVENUE.", , , ,5/14/2008 12:00:00 AM,PHONE,5/14/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21308458,-122.7359149,45.5107617,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR41A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,bfe75f8d-e979-4359-90da-e2e92eb9b05a,-13662901.5866,5702292.5465
207,10462319,UNCLASSIFIED,DUNDEE FIRE DEPARTMENT,503-554-8442,759 SOUTHWEST STATE HIGHWAY 99 WEST, ,DUNDEE,OR,97115, ,YAMHILL,41071,NORTHEAST CORNER OF THE INTERSECTION OF SW 8TH STREET AND STATE HWY 99 WEST, , , ,3/13/2008 12:00:00 AM,PHONE,4/3/2008 12:00:00 AM,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,87753841,-123.0110696,45.2771302,NAVTEQ,2007Q2,ONENTITY,YES,TGS,YAMH_FIR07A,00099,0,0,21,0,0,0,1,LOCAL, ,MOSTLY VOLUNTEER, , , ,Y, , ,b8198bd8-376d-4637-a40a-d6f59b4102b3,-13693531.6611,5665256.4406
208,10462317,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 6 - NORTHWEST INDUSTRIAL,503-823-3700,3660 NORTHWEST FRONT AVENUE, ,PORTLAND,OR,97210,1304,MULTNOMAH,41051,"LOCATED ON THE NORTHEAST SIDE OF NORTHWEST FRONT AVENUE, APPROX. .5 MI NORTHWEST OF NORTHWEST SHERLOCK AVENUE.", , , ,5/13/2008 12:00:00 AM,PHONE,5/15/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21303813,-122.7059812,45.5488708,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR33A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,e69981a4-5d9c-4a80-9490-e8af7e26e719,-13659569.3858,5708348.307
209,10462316,UNCLASSIFIED,CROOK COUNTY FIRE AND RESCUE - MAIN STATION,541-447-5011,500 NORTHEAST BELKNAP STREET, ,PRINEVILLE,OR,97754,1932,CROOK,41013,LOCATED ON NORTHEAST CORNER OF NE 5TH ST AND BELKAP ST, , , ,3/17/2008 12:00:00 AM,PHONE,4/2/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,86632852,-120.8453909,44.3047015,NAVTEQ,2007Q2,ONENTITY,YES,TGS,CROO_FIR02A,00547,0,0,66,0,0,0,3,LOCAL, ,MOSTLY VOLUNTEER, , , ,Y, , ,b11bedeb-bdc5-4714-bde4-5c96fd026bd8,-13452449.4189,5512717.6873
210,10462315,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 13 - LLOYD CENTER,503-823-3700,926 NORTHEAST WEIDLER STREET, ,PORTLAND,OR,97232,1240,MULTNOMAH,41051,SOUTHWEST SIDE OF NE WEIDLER ST AND NE 10TH AVE, , , ,3/13/2008 12:00:00 AM,PHONE,3/13/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21305140,-122.65582,45.5341132,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR01A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,03a0bccd-c952-486e-ac3e-369ab8ac7d9a,-13653985.4681,5706002.7423
211,10462313,UNCLASSIFIED,TUALATIN VALLEY FIRE AND RESCUE STATION 68 - OAK HILLS,503-649-8577,3260 NORTHWEST 147TH PLACE, ,PORTLAND,OR,97229,0908,WASHINGTON,41067,EAST SIDE OF NW 147TH PL BETWEEN NW HATAYA CT & NW MATOMANDY CT., , , ,5/9/2008 12:00:00 AM,PHONE,5/9/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,124466085,-122.82843,45.54338,NAVTEQ,2007Q2,ONENTITY,NO,TGS,WASH_FIR05A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,98e7e793-bb85-4396-9c25-659d3215f555,-13673200.3228,5707475.524
212,10462312,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 5 - HILLSDALE,503-823-3700,1505 SOUTHWEST DEWITT STREET, ,PORTLAND,OR,97239,2613,MULTNOMAH,41051,NORTH SIDE OF SW DEWITT ST LESS THAN A TENTH OF A MILE WEST OF SW CHELTENHAM ST, , , ,3/13/2008 12:00:00 AM,PHONE,3/26/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21351372,-122.6933824,45.4803899,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR05A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,86a893de-ebf6-4bf2-903b-30e75249a747,-13658166.8962,5697469.2304
213,10462310,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 4 - PORTLAND STATE UNIVERSITY,503-823-3700,511 SOUTHWEST COLLEGE STREET, ,PORTLAND,OR,97201,5208,MULTNOMAH,41051,LOCATED ON THE NORTH CORNER OF SOUTHWEST COLLEGE STREET AND SOUTHWEST 5TH AVENUE., , , ,5/13/2008 12:00:00 AM,PHONE,5/13/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21308718,-122.68275,45.5097214,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR08A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,30482897-57c8-4f06-81a4-4550f8cb1b04,-13656983.3008,5702127.289
214,10462309,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 31 - ROCKWOOD,503-823-3700,1927 SOUTHEAST 174TH AVENUE, ,PORTLAND,OR,97233,4719,MULTNOMAH,41051,WEST SIDE OF SE 174TH ST BETWEEN SE MILL ST AND SE HARRISON CT., , , ,3/13/2008 12:00:00 AM,PHONE,3/13/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,129641857,-122.48513,45.5086265,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR09A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,b31d4f13-cd22-4c55-8da1-e1b03d8347f3,-13634984.3464,5701953.3772
215,10462308,UNCLASSIFIED,NORTH LINCOLN FIRE AND RESCUE DISTRICT 1 STATION 1300 - OTIS,541-996-2233,381 OLD SCENIC HIGHWAY 101, ,OTIS,OR,97368,9755,LINCOLN,41041,LOCATED ON THE NW SIDE OF OLD SCENIC HWY 101 ABOUT LESS THAN A TENTH OF A MILE NE OF N NORTH BANK RD., , , ,3/26/2008 12:00:00 AM,PHONE,3/26/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,87468482,-123.9471312,45.0244811,NAVTEQ,2007Q2,ONENTITY,NO,TGS,LINC_FIR02A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,fe30dc5b-f3b1-4dec-921d-e9a6d0e64374,-13797733.5359,5625376.8083
216,10462307,UNCLASSIFIED,HILLSBORO FIRE AND RESCUE STATION 2 - BROOKWOOD,503-681-6202,5045 SOUTHEAST DRAKE ROAD, ,HILLSBORO,OR,97123,8162,WASHINGTON,41067,NORTHEAST CORNER OF SE DRAKE RD & SE BROOKWOOD AVE., , , ,5/9/2008 12:00:00 AM,PHONE,5/9/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21329505,-122.9306225,45.5030417,NAVTEQ,2007Q2,ONENTITY,YES,TGS,WASH_FIR03A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,4d1cb4ba-4875-40c3-ad9b-ea9d957892d4,-13684576.3362,5701066.2964
217,10462306,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 18 - MULTNOMAH VILLAGE,503-823-3700,8720 SOUTHWEST 30TH AVENUE, ,PORTLAND,OR,97219,3954,MULTNOMAH,41051,LOCATED ON THE NORTHEAST CORNER OF SOUTHWEST 30TH AVENUE AND SOUTHWEST DOLPH COURT., , , ,5/14/2008 12:00:00 AM,PHONE,5/14/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21353298,-122.70746,45.4619314,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR13A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,1ee98684-3f16-4028-b7b0-10afe29a3bbd,-13659734.0036,5694539.1176
218,10462305,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 30 GATEWAY,503-823-3700,13313 NORTHEAST SAN RAFAEL STREET, ,PORTLAND,OR,97230,3122,MULTNOMAH,41051,NORTH SIDE OF NE SAN RAFAEL ST BETWEEN NE 132ND AVE AND NE 133RD AVE, , , ,3/13/2008 12:00:00 AM,PHONE,3/26/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21291700,-122.52586,45.5374813,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR14A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,82b38dc8-ddb1-464f-8d62-2b1624475494,-13639518.3894,5706538.0086
219,10462304,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 11 - LENTS,503-823-3700,5707 SOUTHEAST 92ND AVENUE, ,PORTLAND,OR,97266,4630,MULTNOMAH,41051,LOCATED ON THE SOUTHEAST CORNER OF SOUTHEAST 92ND AVENUE AND SOUTHEAST REEDWAY STREET., , , ,5/13/2008 12:00:00 AM,PHONE,5/30/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21318109,-122.5689207,45.4811001,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR15A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,a3f1a98b-6f95-4169-8bfd-7cbaac51f189,-13644311.8847,5697581.9936
220,10462303,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 15 - SOUTHWEST HILLS,503-823-3700,1920 SOUTHWEST SPRING STREET, ,PORTLAND,OR,97201,2347,MULTNOMAH,41051,"LOCATED ON THE SOUTHWEST SIDE OF SOUTHWEST SPRING STREET, BETWEEN SOUTHWEST 19TH AVENUE AND SOUTHWEST VISTA AVENUE.", , , ,5/14/2008 12:00:00 AM,PHONE,5/14/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21308736,-122.6988639,45.5090186,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR16A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,c389b005-1dfb-4f18-9eb8-db57be16f466,-13658777.0916,5702015.6611
221,10462302,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 22 - SAINT JOHNS,503-823-3700,7205 NORTH ALTA AVENUE, ,PORTLAND,OR,97203,4805,MULTNOMAH,41051,NORTHEAST SIDE OF THE INTERSECTION OF N SYRACUSE ST AND N ALTA AVE, , , ,3/13/2008 12:00:00 AM,PHONE,3/26/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21330439,-122.7568801,45.5900426,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR18A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,47962c09-0e5f-4945-8985-79c27d46a8ca,-13665235.4222,5714895.3449
222,10462301,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 17 - HAYDEN ISLAND,503-823-3700,848 NORTH TOMAHAWK ISLAND DRIVE, ,PORTLAND,OR,97217,7930,MULTNOMAH,41051,WEST SIDE OF N TOMAHAWK ISLAND DR BETWEEN N JANTZEN BEACH AVE AND N HAYDEN BAY DR, , , ,3/13/2008 12:00:00 AM,PHONE,3/26/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21298802,-122.6757497,45.6096997,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR19A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,92ba076a-775b-4f84-8954-422f68d5372b,-13656204.0354,5718022.8715
223,10462300,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 10 - BURLINGAME,503-823-3700,451 SOUTHWEST TAYLORS FERRY ROAD, ,PORTLAND,OR,97219,4678,MULTNOMAH,41051,NORTHWEST SIDE OF THE INTERSECTION OF SW TAYLORS FERRY RD AND SW 4TH AVE, , , ,3/13/2008 12:00:00 AM,PHONE,3/13/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21353154,-122.6829264,45.4634322,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR20A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,e3859d2a-bc92-471c-810e-ad8b3cf3d4e4,-13657002.9348,5694777.3311
224,10462299,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 26 - UNIVERSITY OF PORTLAND,503-823-3700,5247 NORTH LOMBARD STREET, ,PORTLAND,OR,97203,4325,MULTNOMAH,41051,LOCATED ON THE NORTH CORNER OF NORTH LOMBARD STREET AND NORTH HEREFORD AVENUE., , , ,5/14/2008 12:00:00 AM,PHONE,5/14/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21300074,-122.7225831,45.5821811,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR21A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,86b9fcb5-ea98-4754-8209-5d19c40db7de,-13661417.5049,5713644.8575
225,10462298,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 25 - WOODSTOCK,503-823-3700,5211 SOUTHEAST MALL STREET, ,PORTLAND,OR,97206,3973,MULTNOMAH,41051,LOCATED ON THE NORTHEAST CORNER OF SOUTHEAST MALL STREET AND SOUTHEAST 52ND AVENUE., , , ,5/14/2008 12:00:00 AM,PHONE,5/14/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21316840,-122.6087139,45.4915541,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR22A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,d7e61625-1925-435b-ac10-e7141252a9eb,-13648741.6405,5699241.9049
226,10462297,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 23 - LOWER EASTSIDE,503-823-3700,2915 SOUTHEAST 13TH PLACE, ,PORTLAND,OR,97202,2410,MULTNOMAH,41051,LOCATED ON THE WEST CORNER OF SOUTHEAST 13TH PLACE AND SOUTHEAST GIDEON STREET., , , ,5/14/2008 12:00:00 AM,PHONE,5/14/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21309786,-122.65258,45.5018517,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR23A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,a3f05e3f-90b1-4cb6-9e05-c746cd46e6e3,-13653624.7921,5700877.2855
227,10462296,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 29 - GILBERT,503-823-3700,13313 SOUTHEAST FOSTER ROAD, ,PORTLAND,OR,97236, ,MULTNOMAH,41051,LOCATED ON THE SOUTHWEST CORNER OF SOUTHEAST FOSTER ROAD AND SOUTHEAST 134TH AVENUE., , , ,5/14/2008 12:00:00 AM,PHONE,5/14/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21377580,-122.52644,45.4765114,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR24A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,3426642e-2a0c-4405-b0f0-f173255be3c2,-13639582.9529,5696853.4744
228,10462294,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 7 - MILL PARK,503-823-3700,1500 SOUTHEAST 122ND AVENUE, ,PORTLAND,OR,97233,1207,MULTNOMAH,41051,LOCATED ON THE SOUTHEAST CORNER OF SOUTHEAST 122ND AVENUE AND SOUTHEAST MADISON STREET., , , ,5/13/2008 12:00:00 AM,PHONE,5/30/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21294790,-122.5371913,45.5125601,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR26A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,f10fbd57-ffd1-4b06-bc38-8390f872aa1c,-13640779.7867,5702578.2281
229,10462293,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 19 - MOUNT TABOR,503-823-3700,7301 EAST BURNSIDE STREET, ,PORTLAND,OR,97215,1473,MULTNOMAH,41051,LOCATED ON THE NORTHEAST CORNER OF EAST BURNSIDE STREET AND NORTHEAST 73RD AVENUE., , , ,5/14/2008 12:00:00 AM,PHONE,5/14/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21293306,-122.58757,45.5231717,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR28A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,57427733-e346-46d6-9ce6-9fa94b49f26e,-13646387.9138,5704264.1144
230,10462292,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 8 - KENTON,503-823-3700,7134 NORTH MARYLAND AVENUE, ,PORTLAND,OR,97217,5428,MULTNOMAH,41051,LOCATED ON THE SOUTHEAST CORNER OF NORTH MARYLAND AVENUE AND NORTH BUFFALO STREET., , , ,5/13/2008 12:00:00 AM,PHONE,5/13/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21300988,-122.68057,45.5750242,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR29A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,904a7a8a-c16f-4b83-ac23-7adade79778b,-13656740.6264,5712506.5943
231,10462291,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 14 - VERNON,503-823-3700,1905 NORTHEAST KILLINGSWORTH STREET, ,PORTLAND,OR,97211,5517,MULTNOMAH,41051,LOCATED ON THE NORTHEAST CORNER OF NE 19TH AVE AND NE KILLINGSWORTH ST, , , ,5/14/2008 12:00:00 AM,PHONE,5/15/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21302310,-122.6457215,45.5630508,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR30A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,8f1a922f-f33e-4de0-90c0-5b9eb442bdba,-13652861.3115,5710602.6323
232,10462289,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 20 - SELLWOOD / MORELAND,503-823-3700,2235 SOUTHEAST BYBEE BOULEVARD, ,PORTLAND,OR,97202,5738,MULTNOMAH,41051,NORTH SIDE OF SE BYBEE BLVD BETWEEN SE 22ND AVE AND SE 23RD AVE, , , ,3/13/2008 12:00:00 AM,PHONE,3/13/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21352030,-122.6421149,45.47432,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR31A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,87fc1d53-a617-499b-8936-33f202461bfa,-13652459.8188,5696505.5876
233,10462288,UNCLASSIFIED,PORTLAND FIRE AND RESCUE STATION 9 - HAWTHORNE,503-823-3700,1706 SOUTHEAST 39TH AVENUE, ,PORTLAND,OR,97214,5214,MULTNOMAH,41051,"LOCATED ON THE EAST SIDE OF SOUTHEAST 39TH AVENUE, BETWEEN SOUTHEAST MARKET STREET AND SOUTHEAST STEPHENS STREET.", , , ,5/13/2008 12:00:00 AM,PHONE,5/29/2008 12:00:00 AM,MANUAL,922160,FIRE AND RESCUE SERVICE,21294832,-122.622381,45.5106202,NAVTEQ,2007Q2,ONENTITY,NO,TGS,MULT_FIR32A, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,f2d5be7d-bbf5-4159-8195-90767789754e,-13650263.0502,5702270.065
